code,name,dem_2020,rep_2020,other_2020,reg_2020,dem_2016,rep_2016,other_2016,reg_2016,dem_2012,rep_2012,other_2012,reg_2012,dem_2008,rep_2008,other_2008,reg_2008,rep_2004,dem_2004,other_2004,reg_2004
VA_001,Accomack County,7578,9172,212,24624,6740,8583,495,24509,7655,8213,183,23766,7607,7833,183,22437,7726,5518,112,20671
VA_002,Albemarle County,42466,20804,1387,81669,33345,19259,4122,77191,29757,23297,934,74609,29792,20576,616,67259,21189,22088,449,58465
VA_003,Alexandria City,66240,14544,1724,112734,57242,13285,5243,106029,52199,20249,1093,107432,50473,19181,710,97636,19844,41116,555,91445
VA_004,Alleghany County,2243,5859,101,10958,2166,4874,285,10619,3403,3595,175,10644,3553,3715,101,10522,3962,3203,30,10580
VA_005,Amelia County,2411,5390,92,9835,2128,4708,204,9212,2490,4331,94,8846,2488,3970,71,8280,3499,1862,36,7463
VA_006,Amherst County,5672,11041,292,22243,5057,9719,620,21109,5900,8876,194,20397,6094,8470,136,19300,7758,4866,71,17791
VA_007,Appomattox County,2418,6702,148,11704,2023,5715,273,10688,2453,5340,142,10663,2641,4903,86,10083,4366,2191,98,9228
VA_008,Arlington County,105344,22318,3037,178416,92016,20186,9154,169156,81269,34474,1867,168776,78994,29876,1283,149292,29635,63987,1028,130047
VA_009,Augusta County,10840,30714,724,52752,8177,26163,2003,48199,9451,23624,621,45721,9825,23120,393,42984,22100,7019,585,38657
VA_010,Bath County,646,1834,21,3307,603,1548,102,3321,894,1274,55,3366,1043,1349,40,3379,1432,828,22,3359
VA_011,Bedford County,12176,35600,893,60661,9768,30659,2098,56367,11434,28206,602,53379,12225,25917,422,50226,23397,10144,405,45123
VA_012,Bland County,532,2903,44,4569,453,2573,113,4657,735,2144,69,4692,864,2031,64,4538,1962,846,57,4380
VA_013,Botetourt County,5700,15099,321,25674,4494,13375,870,24276,5452,12479,310,23697,5693,11471,242,22876,10865,4801,131,21152
VA_014,Bristol City,2313,5347,146,11714,1835,4892,305,11760,2492,4780,124,12384,2665,4579,115,11859,4275,2400,49,11166
VA_015,Brunswick County,4552,3357,39,10943,4481,3046,142,11090,4994,2968,80,11266,4973,2877,64,11064,2852,4062,12,10421
VA_016,Buchanan County,1587,8311,55,15268,1721,7296,230,15986,3094,6436,116,16569,4063,4541,130,16523,4507,5275,47,17023
VA_017,Buckingham County,3471,4544,111,10752,3128,3950,217,10287,3750,3569,138,10316,3489,3428,77,9758,3185,2789,53,8784
VA_018,Buena Vista City,825,1863,88,4262,693,1430,284,4164,919,1564,44,4200,1108,1282,33,3805,1417,936,36,3578
VA_019,Campbell County,8070,21245,577,39875,6664,19551,1320,38082,7595,17695,416,36320,8091,17444,279,34387,15891,6862,244,30698
VA_020,Caroline County,7657,8336,295,21743,6432,7147,1284,19597,7276,6151,225,18975,7163,5617,139,17507,4999,4878,77,14847
VA_021,Carroll County,2842,12659,150,20701,2559,10663,446,19392,3685,8736,497,18977,4109,8187,283,18253,8173,3888,67,17311
VA_022,Charles City County,2624,1761,56,5649,2496,1476,135,5563,2772,1396,64,5428,2838,1288,27,5305,1254,2155,30,4746
VA_023,Charlotte County,2317,3815,59,8392,2155,3479,174,8356,2503,3311,84,8517,2705,3372,80,8580,3166,2223,49,8184
VA_024,Charlottesville City,20696,3094,415,34960,17901,2960,1611,35725,16510,4844,450,33139,15705,4078,261,28678,4172,11088,190,23371
VA_025,Chesapeake City,66377,58180,2551,171492,52627,54047,6031,160258,55052,53900,1531,154167,53994,52625,902,144606,52283,38744,514,127093
VA_026,Chesterfield County,106935,93326,3623,259259,81074,85045,10342,237584,77694,90934,2578,224670,74310,86413,1365,207562,83745,49346,723,183103
VA_027,Clarke County,3920,5192,225,11686,3051,4661,501,10760,3239,4296,227,10258,3457,3840,134,9549,3741,2699,65,8366
VA_028,Colonial Heights City,2972,6007,167,12755,2367,5681,409,12466,2544,5941,139,12386,2562,6161,126,12178,6129,2061,41,11588
VA_029,Covington City,964,1580,59,3753,914,1349,119,3723,1319,975,36,3839,1304,1020,30,3732,1104,1179,18,3737
VA_030,Craig County,587,2536,46,3971,541,2140,113,3911,830,1757,80,3855,877,1695,49,3726,1706,901,14,3611
VA_031,Culpeper County,10617,16012,487,35122,7759,13349,1110,31273,8285,11580,349,29751,8802,10711,228,27275,10026,5476,103,22985
VA_032,Cumberland County,2227,3019,64,7196,2036,2697,173,6920,2422,2538,88,6932,2255,2418,51,6675,2377,1721,28,6114
VA_033,Danville City,11710,7428,251,28395,11059,7303,590,28450,12218,7763,246,29480,12352,8361,177,29261,9399,9436,277,28419
VA_034,Dickenson County,1503,5748,52,10277,1335,4932,173,10805,2473,4274,158,11406,3278,3324,151,11521,3591,3761,54,11895
VA_035,Dinwiddie County,6224,8695,173,20179,5765,7447,363,19132,6550,6875,164,18660,6246,6526,120,17604,6193,4569,77,15298
VA_036,Emporia City,1612,754,15,3873,1530,789,48,3889,1793,886,17,3921,1702,897,18,3736,970,1247,4,3464
